iter	Passed	Remaining
0	467	1403259
1	1002	1502255
2	1527	1525663
3	2039	1527462
4	2561	1534140
5	3067	1530774
6	3589	1534750
7	4134	1546231
8	4623	1536611
9	5107	1527040
10	5597	1521103
11	6087	1515828
12	6575	1510834
13	7057	1505344
14	7540	1500621
15	8017	1495191
16	8505	1492465
17	8984	1488377
18	9461	1484417
19	9938	1480898
20	10425	1478944
21	10904	1476085
22	11393	1474737
23	11875	1472614
24	12358	1470604
25	12831	1467669
26	13280	1462345
27	13758	1460405
28	14231	1457992
29	14722	1457486
30	15217	1457432
31	15723	1458354
32	16228	1459061
33	16725	1459034
34	17244	1460839
35	17747	1461233
36	18247	1461312
37	18768	1462976
38	19259	1462230
39	19763	1462462
40	20254	1461781
41	20742	1460870
42	21193	1457442
43	21708	1458427
44	22206	1458259
45	22706	1458146
46	23225	1459235
47	23738	1459922
48	24233	1459438
49	24725	1458825
50	25228	1458822
51	25717	1457978
52	26270	1460727
53	26815	1462949
54	27317	1462733
55	27827	1462905
56	28328	1462632
57	28827	1462225
58	29324	1461745
59	29827	1461523
60	30332	1461424
61	30834	1461177
62	31351	1461583
63	31846	1460972
64	32345	1460509
65	32833	1459612
66	33374	1461002
67	33910	1462160
68	34456	1463668
69	35005	1465228
70	35516	1465192
71	36033	1465371
72	36523	1464439
73	37017	1463683
74	37511	1462945
75	38007	1462274
76	38505	1461710
77	39001	1461041
78	39483	1459905
79	39987	1459550
80	40483	1458922
81	40983	1458418
82	41490	1458176
83	41997	1457920
84	42501	1457558
85	42997	1456930
86	43489	1456135
87	43979	1455322
88	44467	1454433
89	44967	1453958
90	45470	1453559
91	45968	1452993
92	46449	1451906
93	46965	1451921
94	47483	1452002
95	47972	1451171
96	48474	1450734
97	48981	1450454
98	49475	1449772
99	49965	1448995
100	50492	1449272
101	51018	1449537
102	51508	1448744
103	52024	1448679
104	52538	1448548
105	52986	1446629
106	53511	1446801
107	54002	1446059
108	54530	1446319
109	55038	1446004
110	55555	1445943
111	56057	1445474
112	56582	1445610
113	57045	1444147
114	57560	1444017
115	57972	1441328
116	58492	1441324
117	58999	1440980
118	59509	1440734
119	60041	1440990
120	60447	1438261
121	60937	1437533
122	61432	1436930
123	61955	1436966
124	62481	1437074
125	62954	1435959
126	63562	1437921
127	64008	1436200
128	64518	1435914
129	64958	1434076
130	65386	1432022
131	65873	1431258
132	66310	1429409
133	66796	1428638
134	67281	1427871
135	67791	1427598
136	68187	1424966
137	68626	1423255
138	69124	1422780
139	69585	1421530
140	70020	1419779
141	70542	1419787
142	71014	1418802
143	71534	1418772
144	72044	1418541
145	72458	1416409
146	72888	1414638
147	73319	1412890
148	73785	1411822
149	74265	1411035
150	74762	1410576
151	75185	1408735
152	75699	1408609
153	76134	1407003
154	76570	1405442
155	77074	1405119
156	77573	1404726
157	78067	1404232
158	78485	1402367
159	79009	1402423
160	79505	1401968
161	79947	1400567
162	80463	1400465
163	80951	1399874
164	81465	1399727
165	81960	1399249
166	82421	1398207
167	82925	1397892
168	83395	1397000
169	83888	1396497
170	84373	1395858
171	84800	1394280
172	85312	1394093
173	85852	1394361
174	86284	1392883
175	86733	1391678
176	87228	1391224
177	87715	1390642
178	88193	1389906
179	88689	1389466
180	89192	1389134
181	89656	1388201
182	90109	1387096
183	90567	1386082
184	91020	1384993
185	91453	1383609
186	91916	1382682
187	92440	1382681
188	92822	1380557
189	93348	1380574
190	93864	1380448
191	94415	1380821
192	94886	1380028
193	95390	1379723
194	95884	1379261
195	96301	1377705
196	96798	1377284
197	97331	1377382
198	97843	1377187
199	98311	1376356
200	98736	1374948
201	99246	1374705
202	99716	1373932
203	100148	1372622
204	100617	1371829
205	101082	1370988
206	101517	1369754
207	102011	1369314
208	102506	1368881
209	102992	1368335
210	103386	1366568
211	104003	1367747
212	104554	1368044
213	105057	1367705
214	105578	1367608
215	105968	1365815
216	106441	1365101
217	106974	1365157
218	107385	1363644
219	107779	1361940
220	108343	1362382
221	108742	1360755
222	109335	1361542
223	109875	1361665
224	110276	1360081
225	110756	1359465
226	111323	1359916
227	111931	1360854
228	112436	1360533
229	113075	1361823
230	113577	1361458
231	114085	1361160
232	114590	1360829
233	115160	1361255
234	115668	1360950
235	116301	1362113
236	116907	1362933
237	117552	1364205
238	118127	1364648
239	118645	1364418
240	119177	1364357
241	119722	1364442
242	120289	1364767
243	120718	1363530
244	121432	1365497
245	122020	1366030
246	122585	1366303
247	123201	1367144
248	123789	1367651
249	124331	1367642
250	124854	1367426
251	125442	1367922
252	126002	1368095
253	126592	1368591
254	127234	1369639
255	127810	1369969
256	128230	1368624
257	128786	1368733
258	129291	1368295
259	129797	1367864
260	130292	1367323
261	130716	1366042
262	131140	1364754
263	131749	1365403
264	132288	1365317
265	132840	1365362
266	133441	1365901
267	134044	1366456
268	134566	1366173
269	135021	1365217
270	135611	1365624
271	136159	1365600
272	136668	1365180
273	137170	1364697
274	137705	1364537
275	138206	1364039
276	138755	1364011
277	139226	1363214
278	139615	1361629
279	140088	1360859
280	140545	1359941
281	140953	1358548
282	141332	1356890
283	141861	1356680
284	142372	1356289
285	142928	1356319
286	143352	1355104
287	143898	1355042
288	144416	1354713
289	144957	1354599
290	145447	1354010
291	145946	1353504
292	146485	1353366
293	146901	1352095
294	147296	1350631
295	147767	1349880
296	148132	1348152
297	148631	1347658
298	149025	1346214
299	149526	1345739
300	150017	1345176
301	150546	1344947
302	151053	1344528
303	151465	1343255
304	152040	1343441
305	152541	1342966
306	153029	1342372
307	153432	1341038
308	153994	1341099
309	154524	1340872
310	155058	1340683
311	155490	1339607
312	155994	1339161
313	156481	1338562
314	156953	1337841
315	157436	1337217
316	157814	1335696
317	158287	1334990
318	158789	1334525
319	159319	1334304
320	159714	1332941
321	160173	1332129
322	160636	1331341
323	161123	1330763
324	161585	1329972
325	162056	1329261
326	162604	1329179
327	163142	1329017
328	163627	1328416
329	164093	1327663
330	164611	1327332
331	165099	1326766
332	165614	1326408
333	166015	1325145
334	166542	1324885
335	166935	1323563
336	167448	1323190
337	167894	1322297
338	168406	1321918
339	168783	1320480
340	169139	1318893
341	169646	1318479
342	170152	1318061
343	170700	1317968
344	171212	1317590
345	171720	1317188
346	172247	1316926
347	172738	1316386
348	173183	1315498
349	173661	1314868
350	174078	1313771
351	174512	1312811
352	175033	1312501
353	175421	1311200
354	175947	1310933
355	176486	1310760
356	176947	1310006
357	177353	1308852
358	177844	1308324
359	178219	1306939
360	178596	1305584
361	179097	1305135
362	179622	1304864
363	180078	1304087
364	180466	1302819
365	180889	1301813
366	181345	1301039
367	181855	1300660
368	182318	1299946
369	182874	1299892
370	183046	1297114
371	183600	1297046
372	184127	1296789
373	184645	1296469
374	185176	1296233
375	185596	1295225
376	186086	1294705
377	186551	1294014
378	187113	1293998
379	187613	1293548
380	188148	1293338
381	188689	1293166
382	189136	1292350
383	189644	1291954
384	190149	1291533
385	190639	1291014
386	191169	1290761
387	191627	1290031
388	192115	1289492
389	192567	1288722
390	193050	1288154
391	193448	1287027
392	193971	1286727
393	194501	1286474
394	194953	1285706
395	195465	1285336
396	195927	1284631
